일  자,요일,이용자수
2007-01-01,월,319503
2007-01-02,화,652874
2007-01-03,수,664462
2007-01-04,목,675185
2007-01-05,금,691405
2007-01-06,토,573676
2007-01-07,일,419793
2007-01-08,월,659458
2007-01-09,화,688329
2007-01-10,수,685696
2007-01-11,목,682227
2007-01-12,금,697826
2007-01-13,토,589487
2007-01-14,일,439213
2007-01-15,월,681484
2007-01-16,화,690431
2007-01-17,수,686109
2007-01-18,목,682570
2007-01-19,금,701196
2007-01-20,토,622493
2007-01-21,일,471813
2007-01-22,월,676262
2007-01-23,화,690308
2007-01-24,수,690833
2007-01-25,목,700846
2007-01-26,금,679845
2007-01-27,토,601617
2007-01-28,일,437521
2007-01-29,월,672405
2007-01-30,화,672047
2007-01-31,수,658709
2007-02-01,목,644992
2007-02-02,금,669074
2007-02-03,토,616990
2007-02-04,일,458307
2007-02-05,월,729169
2007-02-06,화,755553
2007-02-07,수,769351
2007-02-08,목,674525
2007-02-09,금,762975
2007-02-10,토,620648
2007-02-11,일,468682
2007-02-12,월,712748
2007-02-13,화,697436
2007-02-14,수,720409
2007-02-15,목,696554
2007-02-16,금,677685
2007-02-17,토,304395
2007-02-18,일,200612
2007-02-19,월,308495
2007-02-20,화,663602
2007-02-21,수,734830
2007-02-22,목,732218
2007-02-23,금,734254
2007-02-24,토,665091
2007-02-25,일,483072
2007-02-26,월,711139
2007-02-27,화,730718
2007-02-28,수,752805
2007-03-01,목,563460
2007-03-02,금,781042
2007-03-03,토,728377
2007-03-04,일,452951
2007-03-05,월,781511
2007-03-06,화,767606
2007-03-07,수,786283
2007-03-08,목,783263
2007-03-09,금,822483
2007-03-10,토,672416
2007-03-11,일,471433
2007-03-12,월,797977
2007-03-13,화,820277
2007-03-14,수,833029
2007-03-15,목,813070
2007-03-16,금,806957
2007-03-17,토,725441
2007-03-18,일,518322
2007-03-19,월,808957
2007-03-20,화,823540
2007-03-21,수,808511
2007-03-22,목,821386
2007-03-23,금,815305
2007-03-24,토,659030
2007-03-25,일,523439
2007-03-26,월,779817
2007-03-27,화,840649
2007-03-28,수,817853
2007-03-29,목,768408
2007-03-30,금,815907
2007-03-31,토,672053
2007-04-01,일,458625
2007-04-02,월,793593
2007-04-03,화,812554
2007-04-04,수,804158
2007-04-05,목,815598
2007-04-06,금,812154
2007-04-07,토,767064
2007-04-08,일,532168
2007-04-09,월,802943
2007-04-10,화,832089
2007-04-11,수,823928
2007-04-12,목,823747
2007-04-13,금,807415
2007-04-14,토,718918
2007-04-15,일,504059
2007-04-16,월,728584
2007-04-17,화,834783
2007-04-18,수,832065
2007-04-19,목,816057
2007-04-20,금,805678
2007-04-21,토,761056
2007-04-22,일,500926
2007-04-23,월,805647
2007-04-24,화,814246
2007-04-25,수,818762
2007-04-26,목,805511
2007-04-27,금,840743
2007-04-28,토,707484
2007-04-29,일,519924
