년월,정류소명,정류소ID,승차,하차
Jan-20,(주)성안건너,7021042100,35,187
Jan-20,(주)영화건너,7111058300,4,113
Jan-20,(주)영화앞,7111059100,482,0
Jan-20,1차서한화성타운건너,7041058600,194,159
Jan-20,1차서한화성타운앞,7041047200,660,92
Jan-20,2.28기념중앙공원건너1,7001006900,"45,301","10,351"
Jan-20,2.28기념중앙공원건너2,7001011700,"7,063","4,271"
Jan-20,2.28기념중앙공원앞,7001006800,"83,325","12,146"
Jan-20,2차대자연맨션건너,7061035600,"1,666",797
Jan-20,2차대자연맨션앞,7061009500,"9,873","1,173"
Jan-20,2차서한화성타운건너,7041003100,"35,513","2,098"
Jan-20,2차서한화성타운앞,7041003000,"15,938","4,266"
Jan-20,2호선반월당역1,7001001400,"20,931","4,072"
Jan-20,2호선반월당역2,7001012300,"12,074","3,992"
Jan-20,CBS방송국건너,7021023000,"4,708","2,409"
Jan-20,CBS방송국앞,7021023100,"3,038","1,665"
Jan-20,CGV대구한일건너,7001006600,"88,275","17,416"
Jan-20,CGV대구한일앞,7001006700,"29,701","3,196"
Jan-20,CMB대구방송,7011004600,"1,978","1,235"
Jan-20,DGB대구은행파크남편건너,7021013900,895,329
Jan-20,DGB대구은행파크남편앞,7021014000,"1,045",488
Jan-20,DGB대구은행파크동편건너,7021012800,"2,866","4,310"
Jan-20,DGB대구은행파크동편앞,7021012900,"2,777",481
Jan-20,e-편한세상월배건너,7041059100,908,109
Jan-20,e-편한세상월배앞,7041059000,90,107
Jan-20,e편한세상대구금호건너,7021056500,"11,281",69
Jan-20,e편한세상대구금호앞,7021056600,234,397
Jan-20,IHL건너,7111065300,1,9
Jan-20,IHL앞,7111065200,69,1
Jan-20,K-2입구,7011012200,"3,369","1,054"
Jan-20,K2관사입구(종점),7011035800,"1,374",109
Jan-20,KT남대구지사건너1,7051003500,"8,940","3,735"
Jan-20,KT남대구지사건너2,7051003000,"3,223","1,291"
Jan-20,KT남대구지사앞1,7051003400,"20,543","7,072"
Jan-20,KT남대구지사앞2,7051002900,"1,829","2,236"
Jan-20,KT동대구지사건너,7011007300,"27,038","16,752"
Jan-20,KT동대구지사앞,7011007200,"12,896","2,052"
Jan-20,KT북대구지사건너,7021013700,"1,567",239
Jan-20,KT북대구지사앞,7021013800,"3,488",438
Jan-20,KT상동지사건너,7061028200,"2,075",281
Jan-20,KT상동지사앞,7061028300,817,630
Jan-20,KT서대구지사건너,7031015100,"16,972","3,251"
Jan-20,KT서대구지사앞,7031010600,"11,700","5,837"
Jan-20,LG물류센터건너,7011015100,"3,606","2,803"
Jan-20,LG물류센터앞,7011015200,"4,797","3,255"
Jan-20,LH10단지아파트건너,7011060000,183,"3,425"
Jan-20,LH10단지아파트앞,7011060100,27,560
Jan-20,LH14단지아파트,7011061800,"2,285",419
Jan-20,LH5단지아파트건너,7011056100,"1,800",424
Jan-20,LH5단지아파트앞,7011056000,997,117
Jan-20,LH5단지아파트후문앞,7011051400,317,789
Jan-20,LH천년나무2단지건너,7111073200,"9,070",431
Jan-20,LH천년나무2단지앞,7111073100,"1,752",563
Jan-20,NH농협혁신도시지점건너,7011056700,8,152
Jan-20,NH농협혁신도시지점앞,7011056600,"3,461",318
Jan-20,SD아이프라임강북아파트,7021005600,"4,565",573
Jan-20,SK리더스뷰건너,7061012500,"7,589","1,631"
Jan-20,SK리더스뷰앞,7061012600,"4,515","1,921"
Jan-20,STX메탈건너,7041001500,"1,154","3,466"
Jan-20,STX메탈앞,7041001400,14,903
Jan-20,TBC건너,7061012900,"12,794",973
Jan-20,TBC앞,7061012800,"3,049","3,419"
Jan-20,㈜윔스건너,7041044700,54,319
Jan-20,㈜윔스앞,7041044800,285,36
Jan-20,가창농협건너,7111000400,"2,667","2,564"
Jan-20,가창농협앞,7111000500,"10,205",490
Jan-20,가창댐,7111060200,4,3
Jan-20,가창댐1,7111060300,11,76
Jan-20,가창면사무소건너,7111000600,"3,146","1,340"
Jan-20,가창면사무소앞,7111000700,"6,524","1,012"
Jan-20,가창중학교건너,7111045600,747,4
Jan-20,가창중학교앞,7111045700,54,105
Jan-20,가창초등학교건너,7111045800,"2,906",271
Jan-20,가창초등학교앞,7111045900,"1,190",65
Jan-20,가천동건너,7061058600,117,27
Jan-20,가천동앞,7061028900,98,40
Jan-20,가천리,7111027800,6,34
Jan-20,가태2리마을입구,7111064300,36,0
Jan-20,가태리마을회관건너,7111064200,76,6
Jan-20,가태리마을회관앞,7111064100,4,0
Jan-20,각산비나리공원건너,7011059300,"1,068",172
Jan-20,각산비나리공원앞,7011059200,"1,898",139
Jan-20,각산역(1번출구),7011038100,"3,771","1,116"
Jan-20,각산역(2번출구),7011038000,"1,460","1,566"
Jan-20,각산푸르지오건너,7011051900,"4,335","2,729"
Jan-20,각산푸르지오앞,7011051800,"2,108","1,274"
Jan-20,갈실마을회관종점,7111028400,366,8
Jan-20,감문1리1,7111015600,0,3
Jan-20,감문1리2,7111015700,201,2
Jan-20,감문1리3,7111015800,1,6
Jan-20,감문1리4,7111044400,5,0
Jan-20,감문리(삼실)건너,7111078500,40,0
Jan-20,감문리(삼실)앞,7111015100,17,20
Jan-20,감삼네거리1,7031004100,"12,052","4,770"
Jan-20,감삼네거리2,7041024200,"32,759","16,042"
Jan-20,감삼초등학교건너,7041010600,"6,721","1,538"
Jan-20,감삼초등학교앞,7041010700,"5,998","1,397"
Jan-20,갓골건너,7011033900,129,0
Jan-20,갓골앞,7011034000,1,22
Jan-20,갓바위,7011036000,"12,531",665
Jan-20,강남약국건너,7021025000,"41,913","10,341"
Jan-20,강남약국앞1,7011008900,"29,918","7,512"
Jan-20,강남약국앞2,7011009000,"9,154","1,412"
Jan-20,강동중·고등학교,7011032400,3,58
Jan-20,강동중·고등학교건너,7011032500,866,3
Jan-20,강동초교건너,7011062800,397,3
Jan-20,강동초교앞,7011063000,8,78
Jan-20,강변동서마을건너,7011028500,"4,346",355
Jan-20,강변동서마을앞,7011014500,"3,511","1,585"
Jan-20,강북경찰서건너,7021038600,"1,326","1,540"
Jan-20,강북경찰서앞,7021038700,"4,635",415
Jan-20,강북중학교건너,7021043200,507,841
Jan-20,강북중학교앞,7021047000,"5,746",98
Jan-20,강산아파트건너,7011012300,"4,117","9,171"
Jan-20,강산아파트앞,7011012400,"4,432","1,483"
Jan-20,강정(종점),7111032900,11,11
Jan-20,강정보(디아크문화관)건너,7111049800,5,6
Jan-20,강정보(디아크문화관)입구,7111049900,181,15
Jan-20,강창교1,7111009900,"2,642",323
Jan-20,강창교2,7111062100,131,"1,082"
Jan-20,강창역(1번출구),7041032500,"5,568","1,523"
Jan-20,강창역(2번출구),7041037700,"22,192",772
Jan-20,강창하이츠,7111019400,"8,341",626
Jan-20,거동교1,7021032100,"2,469","1,535"
Jan-20,거동교2,7021032200,"1,452",633
Jan-20,건들바위건너,7001008100,779,791
Jan-20,건들바위앞,7001008200,256,722
Jan-20,건영아파트건너,7021026400,"4,832","5,879"
Jan-20,건영캐스빌건너,7111047500,"8,292","1,382"
Jan-20,건영캐스빌앞,7111010300,"4,355","1,561"
Jan-20,검단동대구축협앞,7021042200,"3,237",94
Jan-20,검단동행정복지센터1,7021055200,934,40
Jan-20,검단동행정복지센터2,7021055300,4,466
Jan-20,검단동행정복지센터건너,7021019000,"9,102",72
Jan-20,검단동행정복지센터앞,7021018900,52,648
Jan-20,검단상가아파트건너,7021019100,5,15
Jan-20,검단상가아파트앞,7021042300,391,3
Jan-20,검단유성아파트(서편),7021019400,"7,007","1,473"
Jan-20,검단유성아파트건너,7021018500,"4,237","1,210"
Jan-20,검단유성아파트앞,7021018600,"15,819","3,546"
Jan-20,경기장네거리1,7061029300,"4,621",825
Jan-20,경기장네거리2,7061029200,"3,125",210
Jan-20,경대교2,7021054800,"6,055",697
Jan-20,경대교건너,7021023800,704,287
Jan-20,경대교앞,7021023700,733,"1,287"
Jan-20,경대사대부설고등학교앞,7001007500,"18,704","8,618"
Jan-20,경대아파트앞,7011010200,"4,609","3,846"
Jan-20,경덕여고,7031020100,807,750
Jan-20,경동산업앞,7021019600,13,1
Jan-20,경명여고건너,7021028500,"1,748",552
Jan-20,경명여고앞,7021028400,"1,975","1,350"
Jan-20,경북고등학교건너,7061017700,"7,201","3,639"
Jan-20,경북고등학교앞,7061017600,"11,871","1,290"
Jan-20,경북공고건너,7001003100,"4,590","3,736"
Jan-20,경북공고앞,7001003000,"6,342","3,958"
Jan-20,경북교통,7011018200,"2,485","8,225"
Jan-20,경북교통앞,7011018300,"3,008","2,318"
Jan-20,경북기계공고건너,7041017300,"6,299","4,408"
Jan-20,경북기계공고앞,7041017200,"6,281","4,208"
Jan-20,경북농업기술원건너,7021051400,29,45
Jan-20,경북농업기술원앞,7021003800,7,4
Jan-20,경북대체육센터건너,7021025700,"10,277",642
Jan-20,경북대체육센터앞,7021022300,"8,056","6,642"
Jan-20,경북대학교 경상대학앞,7011010100,"27,996","4,217"
Jan-20,경북대학교병원건너,7001009700,"14,520","7,430"
Jan-20,경북대학교병원앞,7001009800,"27,021","5,399"
Jan-20,경북대학교북문건너,7021025900,"56,164","2,892"
Jan-20,경북대학교북문앞,7021025800,"20,632","6,532"
Jan-20,경북대학교서문건너,7021022400,"6,048","1,865"
Jan-20,경북대학교서문앞,7021022500,"3,586","1,851"
Jan-20,경북대학교정문건너,7011010300,"7,051","4,742"
Jan-20,경북대학교정문앞,7011010400,"19,197","4,915"
Jan-20,경북대학교체육센터건너2,7021022200,610,443
Jan-20,경북대학교치과병원,7001007600,"22,226","10,718"
Jan-20,경북아파트건너(신천동),7011005800,"3,250","13,277"
Jan-20,경북아파트앞(신천동),7011005700,"6,567","3,712"
Jan-20,경북여상건너,7051000600,"8,031","8,482"
Jan-20,경북여상앞,7051000700,"13,918","2,512"
